EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-1.451,-3.025,11.685,-3.911,-1.782,17.629,-10.768,19.530,-0.028,1.006,-0.139,-1.831,-1.190,1.190,73.333,30789.000,1.000
-4.485,-5.194,13.649,-7.157,-2.594,22.014,-10.170,15.417,-0.028,1.007,-0.138,-1.709,-1.221,0.916,73.333,30790.000,1.000
-7.489,-7.059,15.559,-9.554,-3.016,25.469,-9.564,12.071,-0.028,1.006,-0.140,-1.709,-1.282,0.671,73.333,30791.000,1.000
-9.740,-7.578,17.780,-10.938,-2.854,28.587,-7.972,9.670,-0.028,1.006,-0.142,-1.617,-1.343,0.610,73.333,30792.000,1.000
-10.960,-6.531,20.161,-11.361,-1.966,31.445,-5.059,7.886,-0.028,1.006,-0.141,-1.556,-1.343,0.519,73.333,30793.000,1.000
-11.464,-4.954,22.276,-10.821,-0.263,33.181,-2.257,5.999,-0.027,1.005,-0.138,-1.587,-1.312,0.549,73.333,30794.000,1.000
-11.420,-4.013,23.582,-9.150,2.172,32.703,-1.411,3.128,-0.029,1.006,-0.140,-1.434,-1.312,0.488,73.333,30795.000,1.000
-10.065,-3.480,23.562,-5.997,5.141,29.822,-2.430,-1.170,-0.025,1.008,-0.140,-1.373,-1.312,0.336,73.333,30796.000,1.000
-6.378,-2.158,21.883,-1.190,8.333,25.264,-3.342,-6.609,-0.024,1.007,-0.139,-1.434,-1.251,0.305,73.333,30797.000,1.000
-0.574,0.186,18.659,4.850,11.323,19.761,-2.822,-12.449,-0.023,1.010,-0.142,-1.465,-1.190,0.366,73.333,30798.000,1.000
5.716,2.203,14.511,11.143,13.647,13.509,-1.768,-18.037,-0.023,1.009,-0.142,-1.434,-1.099,0.427,73.333,30799.000,1.000
10.940,2.570,10.141,16.536,14.789,6.478,-1.882,-23.139,-0.022,1.008,-0.145,-1.404,-1.129,0.519,73.333,30800.000,1.000
14.945,1.649,5.844,20.148,14.247,-0.916,-3.163,-27.661,-0.024,1.006,-0.144,-1.434,-1.038,0.488,73.333,30801.000,1.000
18.542,0.980,1.475,21.642,11.806,-7.707,-3.705,-31.104,-0.022,1.007,-0.143,-1.495,-0.977,0.610,73.333,30802.000,1.000
21.942,1.273,-3.222,21.132,7.756,-13.117,-2.099,-32.515,-0.022,1.005,-0.142,-1.434,-0.824,0.580,73.333,30803.000,1.000
24.013,1.439,-8.441,18.894,2.766,-17.126,0.726,-30.932,-0.022,1.007,-0.141,-1.373,-0.854,0.580,73.333,30804.000,1.000
23.387,0.002,-14.213,15.328,-2.333,-19.979,2.713,-25.758,-0.023,1.007,-0.143,-1.373,-0.763,0.641,73.333,30805.000,1.000
